Campo,Valor
Horas_Trabajadas,4.46
---,---
ID_Empleado,1423
Fecha,2025-12-14
Estado,Tarde
Horas_Trabajadas,11.68
---,---
ID_Empleado,1428
Fecha,2026-01-23
Estado,Vacaciones
Horas_Trabajadas,5.21
---,---
ID_Empleado,1341
Fecha,2026-02-07
Estado,presente
Horas_Trabajadas,2.57
---,---
ID_Empleado,1688
Fecha,2025-12-16
Estado,Presente
Horas_Trabajadas,10.53
---,---
ID_Empleado,1784
Fecha,2025-08-15
Estado,Tarde
Horas_Trabajadas,9.26
---,---
ID_Empleado,1896
Fecha,2026-04-07
Estado,vacaciones 
Horas_Trabajadas,8.82
---,---
ID_Empleado,1183
Fecha,2025-06-23
Estado,TARDE
Horas_Trabajadas,9.14
---,---
ID_Empleado,1719
Fecha,2026-04-18
Estado,Presente
Horas_Trabajadas,7.75
---,---
ID_Empleado,1598
Fecha,2025-12-16
Estado,TARDE
Horas_Trabajadas,3.83
---,---
ID_Empleado,1898
Fecha,2025-08-30
Estado,Ausente
Horas_Trabajadas,10.53
---,---
ID_Empleado,1074
Fecha,2025-10-08
Estado,Tarde
Horas_Trabajadas,7.33
---,---
ID_Empleado,1308
Fecha,2025-11-23
Estado,vacaciones 
Horas_Trabajadas,10.56
---,---
ID_Empleado,1672
Fecha,2025-10-05
Estado,Vacaciones
Horas_Trabajadas,10.91
---,---
ID_Empleado,1190
Fecha,2026-05-24
Estado,Tarde
Horas_Trabajadas,9.66
---,---
ID_Empleado,1299
Fecha,2025-06-28
Estado,ausente
Horas_Trabajadas,6.08
---,---
ID_Empleado,1877
Fecha,2026-04-27
Estado,Presente
Horas_Trabajadas,4.16
---,---
ID_Empleado,1353
Fecha,2026-01-21
Estado,ausente
Horas_Trabajadas,8.95
---,---
ID_Empleado,1474
Fecha,2026-03-18
Estado,Tarde
Horas_Trabajadas,5.11
---,---
ID_Empleado,1884
Fecha,2026-05-11
Estado,Ausente
Horas_Trabajadas,8.68
---,---
ID_Empleado,1053
Fecha,2025-07-09
Estado,ausente
Horas_Trabajadas,1.27
---,---
ID_Empleado,1235
Fecha,2025-06-20
Estado,Tarde
Horas_Trabajadas,2.03
---,---
ID_Empleado,1463
Fecha,2026-05-22
Estado,Tarde
Horas_Trabajadas,9.52
---,---
ID_Empleado,1197
Fecha,2025-08-22
Estado,ausente
Horas_Trabajadas,8.1
---,---
ID_Empleado,1159
Fecha,2026-03-09
Estado,Presente
Horas_Trabajadas,11.19
---,---
ID_Empleado,1715
Fecha,2025-10-31
Estado,Ausente
Horas_Trabajadas,4.48
---,---
ID_Empleado,1734
Fecha,2026-01-27
Estado,vacaciones 
Horas_Trabajadas,6.37
---,---
ID_Empleado,1784
Fecha,2026-04-24
Estado,ausente
Horas_Trabajadas,1.13
---,---
ID_Empleado,1201
Fecha,2026-05-09
Estado,vacaciones 
Horas_Trabajadas,7.93
---,---
ID_Empleado,1687
Fecha,2025-07-14
Estado,Tarde
Horas_Trabajadas,10.34
---,---
ID_Empleado,1802
Fecha,2025-06-25
Estado,vacaciones 
Horas_Trabajadas,3.21
---,---
ID_Empleado,1115
Fecha,2025-12-02
Estado,presente
Horas_Trabajadas,11.87
---,---
ID_Empleado,1812
Fecha,2025-11-05
Estado,Tarde
Horas_Trabajadas,1.3
---,---
ID_Empleado,1861
Fecha,2025-10-05
Estado,Presente
Horas_Trabajadas,10.8
---,---
ID_Empleado,1737
Fecha,2025-10-15
Estado,Ausente
Horas_Trabajadas,6.54
---,---
ID_Empleado,1274
Fecha,2026-03-01
Estado,Tarde
Horas_Trabajadas,5.26
---,---
ID_Empleado,1259
Fecha,2026-05-15
Estado,TARDE
Horas_Trabajadas,3.25
---,---
ID_Empleado,1770
Fecha,2026-02-17
Estado,TARDE
Horas_Trabajadas,5.65
---,---
ID_Empleado,1462
Fecha,2026-03-12
Estado,vacaciones 
Horas_Trabajadas,1.25
---,---
ID_Empleado,1808
Fecha,2026-03-18
Estado,Tarde
Horas_Trabajadas,11.32
---,---
ID_Empleado,1707
Fecha,2025-12-20
Estado,vacaciones 
Horas_Trabajadas,6.49
---,---
ID_Empleado,1757
Fecha,2026-03-30
Estado,presente
Horas_Trabajadas,8.67
---,---
ID_Empleado,1390
Fecha,2026-02-05
Estado,Presente
Horas_Trabajadas,10.37
---,---
ID_Empleado,1655
Fecha,2026-02-28
Estado,Ausente
Horas_Trabajadas,7.67
---,---
ID_Empleado,1292
Fecha,2025-11-18
Estado,vacaciones 
Horas_Trabajadas,10.64
---,---
ID_Empleado,1613
Fecha,2025-10-29
Estado,Tarde
Horas_Trabajadas,1.26
---,---
ID_Empleado,1379
Fecha,2025-10-22
Estado,vacaciones 
Horas_Trabajadas,4.08
---,---
ID_Empleado,1732
Fecha,2026-01-02
Estado,Presente
Horas_Trabajadas,2.25
---,---
ID_Empleado,1192
Fecha,2025-11-21
Estado,Tarde
Horas_Trabajadas,3.88
---,---
ID_Empleado,1378
Fecha,2026-01-11
Estado,presente
Horas_Trabajadas,10.99
---,---
ID_Empleado,1220
Fecha,2025-10-15
Estado,Vacaciones
Horas_Trabajadas,1.55
---,---
ID_Empleado,1668
Fecha,2026-01-13
Estado,Presente
Horas_Trabajadas,1.85
---,---
ID_Empleado,1339
Fecha,2026-02-07
Estado,Ausente
Horas_Trabajadas,5.31
---,---
ID_Empleado,1486
Fecha,2026-02-11
Estado,Vacaciones
Horas_Trabajadas,9.66
---,---
ID_Empleado,1543
Fecha,2025-09-19
Estado,Presente
Horas_Trabajadas,6.95
---,---
ID_Empleado,1049
Fecha,2026-05-16
Estado,TARDE
Horas_Trabajadas,11.47
---,---
ID_Empleado,1751
Fecha,2025-12-21
Estado,Presente
Horas_Trabajadas,4.14
---,---
ID_Empleado,1653
Fecha,2025-09-03
Estado,presente
Horas_Trabajadas,1.67
---,---
ID_Empleado,1062
Fecha,2026-01-24
Estado,Ausente
Horas_Trabajadas,3.66
---,---
ID_Empleado,1356
Fecha,2025-09-17
Estado,vacaciones 
Horas_Trabajadas,5.23
---,---
ID_Empleado,1521
Fecha,2025-10-02
Estado,Vacaciones
Horas_Trabajadas,1.83
---,---
ID_Empleado,1218
Fecha,2026-03-03
Estado,Vacaciones
Horas_Trabajadas,3.1
---,---
ID_Empleado,1649
Fecha,2025-08-17
Estado,presente
Horas_Trabajadas,4.02
---,---
ID_Empleado,1661
Fecha,2026-02-28
Estado,TARDE
Horas_Trabajadas,6.25
---,---
ID_Empleado,1469
Fecha,2025-11-28
Estado,Vacaciones
Horas_Trabajadas,4.87
---,---
ID_Empleado,1051
Fecha,2025-11-21
Estado,TARDE
Horas_Trabajadas,1.46
---,---
ID_Empleado,1654
Fecha,2026-02-06
Estado,Presente
Horas_Trabajadas,2.13
---,---
ID_Empleado,1412
Fecha,2026-01-23
Estado,Vacaciones
Horas_Trabajadas,5.2
---,---
ID_Empleado,1458
Fecha,2025-10-22
Estado,presente
Horas_Trabajadas,6.36
---,---
ID_Empleado,1835
Fecha,2026-03-28
Estado,ausente
Horas_Trabajadas,7.04
---,---
ID_Empleado,1036
Fecha,2026-06-08
Estado,presente
Horas_Trabajadas,11.58
---,---
ID_Empleado,1622
Fecha,2026-04-20
Estado,Presente
Horas_Trabajadas,2.7
---,---
ID_Empleado,1473
Fecha,2025-07-19
Estado,presente
Horas_Trabajadas,5.45
---,---
ID_Empleado,1620
Fecha,2026-05-29
Estado,TARDE
Horas_Trabajadas,6.32
---,---
ID_Empleado,1105
Fecha,2026-02-14
Estado,vacaciones 
Horas_Trabajadas,2.03
---,---
ID_Empleado,1374
Fecha,2025-07-28
Estado,vacaciones 
Horas_Trabajadas,5.67
---,---
ID_Empleado,1818
Fecha,2026-03-25
Estado,vacaciones 
Horas_Trabajadas,2.24
---,---
ID_Empleado,1582
Fecha,2025-07-04
Estado,ausente
Horas_Trabajadas,10.09
---,---
ID_Empleado,1394
Fecha,2025-07-18
Estado,ausente
Horas_Trabajadas,4.92
---,---
ID_Empleado,1753
Fecha,2026-01-15
Estado,TARDE
Horas_Trabajadas,8.3
---,---
ID_Empleado,1163
Fecha,2026-05-04
Estado,vacaciones 
Horas_Trabajadas,1.72
---,---
ID_Empleado,1890
Fecha,2026-02-06
Estado,Presente
Horas_Trabajadas,8.91
---,---
ID_Empleado,1885
Fecha,2025-12-25
Estado,Presente
Horas_Trabajadas,4.66
---,---
ID_Empleado,1549
Fecha,2026-04-16
Estado,TARDE
Horas_Trabajadas,5.12
---,---
ID_Empleado,1261
Fecha,2026-02-14
Estado,Vacaciones
Horas_Trabajadas,8.08
---,---
ID_Empleado,1068
Fecha,2025-12-21
Estado,Vacaciones
Horas_Trabajadas,5.64
---,---
ID_Empleado,1450
Fecha,2026-04-09
Estado,Tarde
Horas_Trabajadas,7.0
---,---
ID_Empleado,1252
Fecha,2026-02-14
Estado,Vacaciones
Horas_Trabajadas,11.47
---,---
ID_Empleado,1253
Fecha,2026-04-25
Estado,Tarde
Horas_Trabajadas,4.11
---,---
ID_Empleado,1397
Fecha,2026-06-11
Estado,vacaciones 
Horas_Trabajadas,8.25
---,---
ID_Empleado,1096
Fecha,2025-08-31
Estado,ausente
Horas_Trabajadas,10.96
---,---
ID_Empleado,1717
Fecha,2025-06-29
Estado,ausente
Horas_Trabajadas,4.69
---,---
ID_Empleado,1044
Fecha,2026-01-07
Estado,presente
Horas_Trabajadas,8.49
---,---
ID_Empleado,1552
Fecha,2026-02-13
Estado,Ausente
Horas_Trabajadas,11.22
---,---
ID_Empleado,1438
Fecha,2025-08-30
Estado,ausente
Horas_Trabajadas,7.65
---,---
ID_Empleado,1213
Fecha,2025-09-23
Estado,Presente
Horas_Trabajadas,9.96
---,---
ID_Empleado,1795
Fecha,2025-12-17
Estado,TARDE
Horas_Trabajadas,1.07
---,---
ID_Empleado,1807
Fecha,2025-11-07
Estado,Vacaciones
Horas_Trabajadas,3.25
---,---
ID_Empleado,1845
Fecha,2025-10-20
Estado,ausente
Horas_Trabajadas,2.97
---,---
ID_Empleado,1772
Fecha,2026-05-22
Estado,vacaciones 
Horas_Trabajadas,5.73
---,---
ID_Empleado,1573
Fecha,2026-04-14
Estado,TARDE
Horas_Trabajadas,3.81
---,---
ID_Empleado,1071
Fecha,2026-02-17
Estado,Vacaciones
Horas_Trabajadas,9.92
---,---
ID_Empleado,1727
Fecha,2025-09-22
Estado,Presente
Horas_Trabajadas,2.81
---,---
ID_Empleado,1128
Fecha,2025-12-02
Estado,Vacaciones
Horas_Trabajadas,11.38
---,---
ID_Empleado,1436
Fecha,2025-10-15
Estado,presente
Horas_Trabajadas,11.65
---,---
ID_Empleado,1004
Fecha,2026-03-04
Estado,ausente
Horas_Trabajadas,10.0
---,---
ID_Empleado,1007
Fecha,2025-12-17
Estado,ausente
Horas_Trabajadas,2.38
---,---
ID_Empleado,1739
Fecha,2026-03-30
Estado,Presente
Horas_Trabajadas,8.03
---,---
ID_Empleado,1783
Fecha,2025-10-11
Estado,TARDE
Horas_Trabajadas,7.11
---,---
ID_Empleado,1732
Fecha,2026-01-26
Estado,Tarde
Horas_Trabajadas,11.45
---,---
ID_Empleado,1812
Fecha,2026-02-09
Estado,ausente
Horas_Trabajadas,6.16
---,---
ID_Empleado,1764
Fecha,2025-12-20
Estado,presente
Horas_Trabajadas,2.33
---,---
ID_Empleado,1778
Fecha,2025-06-21
Estado,Ausente
Horas_Trabajadas,2.54
---,---
ID_Empleado,1131
Fecha,2025-07-14
Estado,ausente
Horas_Trabajadas,8.18
---,---
ID_Empleado,1399
Fecha,2026-03-22
Estado,TARDE
Horas_Trabajadas,1.01
---,---
ID_Empleado,1617
Fecha,2025-08-31
Estado,Presente
Horas_Trabajadas,1.09
---,---
ID_Empleado,1084
Fecha,2025-11-27
Estado,Tarde
Horas_Trabajadas,1.81
---,---
ID_Empleado,1847
Fecha,2025-12-17
Estado,Tarde
Horas_Trabajadas,8.88
---,---
ID_Empleado,1285
Fecha,2026-04-20
Estado,Tarde
Horas_Trabajadas,3.13
---,---
ID_Empleado,1691
Fecha,2026-01-25
Estado,Ausente
Horas_Trabajadas,6.38
---,---
ID_Empleado,1694
Fecha,2026-03-25
Estado,Presente
Horas_Trabajadas,4.84
---,---
ID_Empleado,1674
Fecha,2026-01-29
Estado,ausente
Horas_Trabajadas,10.34
---,---
ID_Empleado,1708
Fecha,2026-02-05
Estado,ausente
Horas_Trabajadas,11.84
---,---
ID_Empleado,1096
Fecha,2026-04-10
Estado,vacaciones 
Horas_Trabajadas,11.28
---,---
ID_Empleado,1694
Fecha,2025-08-30
Estado,ausente
Horas_Trabajadas,2.19
---,---
ID_Empleado,1373
Fecha,2026-04-05
Estado,vacaciones 
Horas_Trabajadas,4.85
---,---
ID_Empleado,1408
Fecha,2025-08-15
Estado,vacaciones 
Horas_Trabajadas,9.47
---,---
ID_Empleado,1416
Fecha,2026-04-23
Estado,Ausente
Horas_Trabajadas,1.45
---,---
ID_Empleado,1624
Fecha,2026-05-10
Estado,vacaciones 
Horas_Trabajadas,6.76
---,---
ID_Empleado,1240
Fecha,2025-10-31
Estado,TARDE
Horas_Trabajadas,4.16
---,---
ID_Empleado,1272
Fecha,2026-04-27
Estado,Presente
Horas_Trabajadas,1.19
---,---
ID_Empleado,1730
Fecha,2025-08-01
Estado,Vacaciones
Horas_Trabajadas,2.68
---,---
ID_Empleado,1843
Fecha,2025-10-19
Estado,Ausente
Horas_Trabajadas,11.39
---,---
ID_Empleado,1690
Fecha,2026-04-22
Estado,vacaciones 
Horas_Trabajadas,8.5
---,---
ID_Empleado,1373
Fecha,2025-06-19
Estado,TARDE
Horas_Trabajadas,9.58
---,---
ID_Empleado,1639
Fecha,2026-02-16
Estado,TARDE
Horas_Trabajadas,11.53
---,---
ID_Empleado,1186
Fecha,2025-11-02
Estado,Tarde
Horas_Trabajadas,10.22
---,---
ID_Empleado,1593
Fecha,2026-05-24
Estado,presente
Horas_Trabajadas,9.36
---,---
ID_Empleado,1249
Fecha,2026-02-28
Estado,Presente
Horas_Trabajadas,6.05
---,---
ID_Empleado,1370
Fecha,2026-05-08
Estado,Ausente
Horas_Trabajadas,6.26
---,---
ID_Empleado,1249
Fecha,2025-08-09
Estado,vacaciones 
Horas_Trabajadas,1.55
---,---
ID_Empleado,1116
Fecha,2026-05-05
Estado,Vacaciones
Horas_Trabajadas,6.42
---,---
ID_Empleado,1655
Fecha,2025-11-22
Estado,presente
Horas_Trabajadas,1.91
---,---
ID_Empleado,1336
Fecha,2025-10-24
Estado,Presente
Horas_Trabajadas,9.2
---,---
ID_Empleado,1098
Fecha,2025-08-25
Estado,Presente
Horas_Trabajadas,1.76
---,---
ID_Empleado,1725
Fecha,2025-08-08
Estado,Tarde
Horas_Trabajadas,5.61
---,---
ID_Empleado,1031
Fecha,2026-04-25
Estado,Presente
Horas_Trabajadas,2.48
---,---
ID_Empleado,1357
Fecha,2026-04-25
Estado,TARDE
Horas_Trabajadas,8.36
---,---
ID_Empleado,1864
Fecha,2025-12-20
Estado,ausente
Horas_Trabajadas,11.01
---,---
ID_Empleado,1612
Fecha,2025-08-26
Estado,ausente
Horas_Trabajadas,10.5
---,---
ID_Empleado,1874
Fecha,2025-09-27
Estado,TARDE
Horas_Trabajadas,3.43
---,---
ID_Empleado,1295
Fecha,2026-04-22
Estado,TARDE
Horas_Trabajadas,4.94
---,---
ID_Empleado,1091
Fecha,2026-01-04
Estado,Tarde
Horas_Trabajadas,2.19
---,---
ID_Empleado,1584
Fecha,2025-10-27
Estado,vacaciones 
Horas_Trabajadas,6.19
---,---
ID_Empleado,1093
Fecha,2025-07-25
Estado,Ausente
Horas_Trabajadas,5.23
---,---
ID_Empleado,1727
Fecha,2026-01-01
Estado,vacaciones 
Horas_Trabajadas,11.83
---,---
ID_Empleado,1396
Fecha,2026-05-03
Estado,Ausente
Horas_Trabajadas,8.47
---,---
ID_Empleado,1245
Fecha,2025-12-04
Estado,Tarde
Horas_Trabajadas,1.25
---,---
ID_Empleado,1212
Fecha,2025-12-04
Estado,presente
Horas_Trabajadas,11.37
---,---
ID_Empleado,1506
Fecha,2025-07-11
Estado,Tarde
Horas_Trabajadas,9.99
---,---
ID_Empleado,1417
Fecha,2025-12-31
Estado,vacaciones 
Horas_Trabajadas,5.01
---,---
ID_Empleado,1797
Fecha,2026-01-07
Estado,Tarde
Horas_Trabajadas,4.41
---,---
ID_Empleado,1551
Fecha,2025-08-04
Estado,Vacaciones
Horas_Trabajadas,3.9
---,---
ID_Empleado,1606
Fecha,2026-03-25
Estado,Tarde
Horas_Trabajadas,11.87
---,---
ID_Empleado,1510
Fecha,2025-10-19
Estado,Tarde
Horas_Trabajadas,4.19
---,---
ID_Empleado,1040
Fecha,2025-11-29
Estado,Presente
Horas_Trabajadas,8.58
---,---
ID_Empleado,1752
Fecha,2025-12-13
Estado,Tarde
Horas_Trabajadas,1.23
---,---
ID_Empleado,1400
Fecha,2025-08-04
Estado,Presente
Horas_Trabajadas,1.95
---,---
ID_Empleado,1682
Fecha,2026-04-28
Estado,vacaciones 
Horas_Trabajadas,9.69
---,---
ID_Empleado,1327
Fecha,2026-06-11
Estado,presente
Horas_Trabajadas,7.48
---,---
ID_Empleado,1572
Fecha,2026-02-17
Estado,Vacaciones
Horas_Trabajadas,4.08
---,---
ID_Empleado,1843
Fecha,2026-05-29
Estado,Tarde
Horas_Trabajadas,6.45
---,---
ID_Empleado,1117
Fecha,2025-09-24
Estado,vacaciones 
Horas_Trabajadas,11.5
---,---
ID_Empleado,1207
Fecha,2026-01-02
Estado,Presente
Horas_Trabajadas,10.67
---,---
ID_Empleado,1712
Fecha,2025-12-30
Estado,TARDE
Horas_Trabajadas,11.87
---,---
ID_Empleado,1327
Fecha,2025-07-10
Estado,vacaciones 
Horas_Trabajadas,10.3
---,---
ID_Empleado,1222
Fecha,2026-02-21
Estado,vacaciones 
Horas_Trabajadas,7.58
---,---
ID_Empleado,1780
Fecha,2025-10-04
Estado,TARDE
Horas_Trabajadas,9.93
---,---
ID_Empleado,1091
Fecha,2025-10-30
Estado,Presente
Horas_Trabajadas,1.63
---,---
ID_Empleado,1038
Fecha,2026-06-14
Estado,Presente
Horas_Trabajadas,6.79
---,---
ID_Empleado,1609
Fecha,2026-01-17
Estado,TARDE
Horas_Trabajadas,1.73
---,---
ID_Empleado,1454
Fecha,2026-02-15
Estado,presente
Horas_Trabajadas,9.0
---,---
ID_Empleado,1828
Fecha,2026-04-01
Estado,Ausente
Horas_Trabajadas,10.39
---,---
ID_Empleado,1544
Fecha,2025-11-28
Estado,Presente
Horas_Trabajadas,2.91
---,---
ID_Empleado,1659
Fecha,2026-01-30
Estado,TARDE
Horas_Trabajadas,4.7
---,---
ID_Empleado,1285
Fecha,2026-02-06
Estado,presente
Horas_Trabajadas,4.69
---,---
ID_Empleado,1614
Fecha,2025-11-11
Estado,Tarde
Horas_Trabajadas,7.87
---,---
ID_Empleado,1051
Fecha,2025-10-09
Estado,TARDE
Horas_Trabajadas,1.54
---,---
ID_Empleado,1268
Fecha,2026-05-02
Estado,TARDE
Horas_Trabajadas,7.97
---,---
ID_Empleado,1427
Fecha,2025-10-22
Estado,vacaciones 
Horas_Trabajadas,1.97
---,---
ID_Empleado,1788
Fecha,2026-02-21
Estado,vacaciones 
Horas_Trabajadas,5.33
---,---
ID_Empleado,1546
Fecha,2026-04-16
Estado,Presente
Horas_Trabajadas,6.63
---,---
ID_Empleado,1830
Fecha,2026-06-11
Estado,presente
Horas_Trabajadas,2.54
---,---
ID_Empleado,1140
Fecha,2026-01-25
Estado,vacaciones 
Horas_Trabajadas,6.72
---,---
ID_Empleado,1357
Fecha,2025-10-08
Estado,Ausente
Horas_Trabajadas,9.58
---,---
ID_Empleado,1714
Fecha,2025-12-27
Estado,Ausente
Horas_Trabajadas,9.46
---,---
ID_Empleado,1867
Fecha,2025-12-27
Estado,Presente
Horas_Trabajadas,10.59
---,---
ID_Empleado,1735
Fecha,2026-05-27
Estado,TARDE
Horas_Trabajadas,1.81
---,---
ID_Empleado,1848
Fecha,2026-05-08
Estado,presente
Horas_Trabajadas,1.4
---,---
ID_Empleado,1357
Fecha,2025-11-03
Estado,TARDE
Horas_Trabajadas,8.42
---,---
ID_Empleado,1759
Fecha,2026-05-16
Estado,TARDE
Horas_Trabajadas,1.09
---,---
ID_Empleado,1627
Fecha,2026-06-19
Estado,vacaciones 
Horas_Trabajadas,6.47
---,---
ID_Empleado,1207
Fecha,2026-03-08
Estado,ausente
Horas_Trabajadas,7.81
---,---
ID_Empleado,1297
Fecha,2025-12-19
Estado,Tarde
Horas_Trabajadas,2.04
---,---
ID_Empleado,1598
Fecha,2026-02-25
Estado,presente
Horas_Trabajadas,9.22
---,---
ID_Empleado,1143
Fecha,2026-05-31
Estado,vacaciones 
Horas_Trabajadas,7.67
---,---
ID_Empleado,1485
Fecha,2026-04-06
Estado,vacaciones 
Horas_Trabajadas,9.07
---,---
ID_Empleado,1364
Fecha,2026-04-16
Estado,Presente
Horas_Trabajadas,9.33
---,---
ID_Empleado,1106
Fecha,2026-01-16
Estado,vacaciones 
Horas_Trabajadas,9.94
---,---
ID_Empleado,1437
Fecha,2025-08-01
Estado,ausente
Horas_Trabajadas,8.59
---,---
ID_Empleado,1100
Fecha,2025-09-19
Estado,ausente
Horas_Trabajadas,6.27
---,---
ID_Empleado,1890
Fecha,2026-04-13
Estado,Tarde
Horas_Trabajadas,8.24
---,---
ID_Empleado,1555
Fecha,2025-12-09
Estado,TARDE
Horas_Trabajadas,5.5
---,---
ID_Empleado,1241
Fecha,2026-03-13
Estado,vacaciones 
Horas_Trabajadas,6.99
---,---
ID_Empleado,1680
Fecha,2026-06-18
Estado,Vacaciones
Horas_Trabajadas,1.27
---,---
ID_Empleado,1746
Fecha,2025-12-06
Estado,vacaciones 
Horas_Trabajadas,10.67
---,---
ID_Empleado,1801
Fecha,2026-02-11
Estado,Tarde
Horas_Trabajadas,6.06
---,---
ID_Empleado,1411
Fecha,2026-06-07
Estado,Tarde
Horas_Trabajadas,7.51
---,---
ID_Empleado,1188
Fecha,2026-02-09
Estado,vacaciones 
Horas_Trabajadas,5.75
---,---
ID_Empleado,1454
Fecha,2026-03-24
Estado,Presente
Horas_Trabajadas,7.27
---,---
ID_Empleado,1704
Fecha,2026-01-22
Estado,TARDE
Horas_Trabajadas,5.92
---,---
ID_Empleado,1406
Fecha,2025-08-23
Estado,presente
Horas_Trabajadas,11.45
---,---
ID_Empleado,1836
Fecha,2026-03-01
Estado,Vacaciones
Horas_Trabajadas,2.86
---,---
ID_Empleado,1563
Fecha,2025-12-10
Estado,Presente
Horas_Trabajadas,6.1
---,---
ID_Empleado,1594
Fecha,2026-03-08
Estado,TARDE
Horas_Trabajadas,9.89
---,---
ID_Empleado,1579
Fecha,2025-09-18
Estado,presente
Horas_Trabajadas,2.49
---,---
ID_Empleado,1349
Fecha,2025-11-30
Estado,ausente
Horas_Trabajadas,6.28
---,---
ID_Empleado,1155
Fecha,2025-09-04
Estado,vacaciones 
Horas_Trabajadas,4.55
---,---
ID_Empleado,1617
Fecha,2026-04-25
Estado,ausente
Horas_Trabajadas,5.18
---,---
ID_Empleado,1025
Fecha,2025-09-12
Estado,TARDE
Horas_Trabajadas,11.03
---,---
ID_Empleado,1378
Fecha,2025-07-18
Estado,Presente
Horas_Trabajadas,4.49
---,---
ID_Empleado,1074
Fecha,2026-05-25
Estado,Ausente
Horas_Trabajadas,2.37
---,---
ID_Empleado,1451
Fecha,2026-03-09
Estado,presente
Horas_Trabajadas,10.81
---,---
ID_Empleado,1799
Fecha,2026-05-24
Estado,vacaciones 
Horas_Trabajadas,4.63
---,---
ID_Empleado,1564
Fecha,2026-06-13
Estado,TARDE
Horas_Trabajadas,7.29
---,---
ID_Empleado,1842
Fecha,2026-03-12
Estado,Tarde
Horas_Trabajadas,7.49
---,---
ID_Empleado,1883
Fecha,2025-09-29
Estado,Vacaciones
Horas_Trabajadas,10.54
---,---
ID_Empleado,1359
Fecha,2025-07-18
Estado,presente
Horas_Trabajadas,6.88
---,---
ID_Empleado,1451
Fecha,2026-04-23
Estado,presente
Horas_Trabajadas,8.13
---,---
ID_Empleado,1861
Fecha,2026-02-20
Estado,Ausente
Horas_Trabajadas,6.78
---,---
ID_Empleado,1040
Fecha,2026-01-24
Estado,Presente
Horas_Trabajadas,10.6
---,---
ID_Empleado,1369
Fecha,2026-01-26
Estado,Presente
Horas_Trabajadas,1.05
---,---
ID_Empleado,1617
Fecha,2025-12-17
Estado,Tarde
Horas_Trabajadas,3.88
---,---
ID_Empleado,1608
Fecha,2025-06-30
Estado,Tarde
Horas_Trabajadas,6.75
---,---
ID_Empleado,1457
Fecha,2026-04-26
Estado,ausente
Horas_Trabajadas,4.85
---,---
ID_Empleado,1474
Fecha,2025-09-25
Estado,Presente
Horas_Trabajadas,7.89
---,---
ID_Empleado,1657
Fecha,2025-07-22
Estado,Presente
Horas_Trabajadas,9.51
---,---
ID_Empleado,1603
Fecha,2025-08-23
Estado,TARDE
Horas_Trabajadas,1.2
---,---
ID_Empleado,1104
Fecha,2026-01-12
Estado,Tarde
